ibge_code,city,state_uf,state_name,city_search
2925956,Rafael Jambeiro,BA,Bahia,rafael jambeiro
2926004,Remanso,BA,Bahia,remanso
2926103,Retirolândia,BA,Bahia,retirolandia
2926202,Riachão das Neves,BA,Bahia,riachao das neves
2926301,Riachão do Jacuípe,BA,Bahia,riachao do jacuipe
2926400,Riacho de Santana,BA,Bahia,riacho de santana
2926509,Ribeira do Amparo,BA,Bahia,ribeira do amparo
2926608,Ribeira do Pombal,BA,Bahia,ribeira do pombal
2926657,Ribeirão do Largo,BA,Bahia,ribeirao do largo
2926707,Rio de Contas,BA,Bahia,rio de contas
2926806,Rio do Antônio,BA,Bahia,rio do antonio
2926905,Rio do Pires,BA,Bahia,rio do pires
2927002,Rio Real,BA,Bahia,rio real
2927101,Rodelas,BA,Bahia,rodelas
2927200,Ruy Barbosa,BA,Bahia,ruy barbosa
2927309,Salinas da Margarida,BA,Bahia,salinas da margarida
2927408,Salvador,BA,Bahia,salvador
2927507,Santa Bárbara,BA,Bahia,santa barbara
2927606,Santa Brígida,BA,Bahia,santa brigida
2927705,Santa Cruz Cabrália,BA,Bahia,santa cruz cabralia
2927804,Santa Cruz da Vitória,BA,Bahia,santa cruz da vitoria
2927903,Santa Inês,BA,Bahia,santa ines
2928059,Santa Luzia,BA,Bahia,santa luzia
